index,sub_area,n_bhk,surface,price,company_name,township,club_house,school,hospital,mall,park,pool,gym
124,hinjewadi,2.0,697.0,6.806000000000001,shapoorji paloonji,sensorium,yes,no,no,no,yes,yes,yes
125,hinjewadi,2.0,711.0,6.841,shapoorji paloonji,sensorium,yes,no,no,no,yes,yes,yes
126,hinjewadi,2.0,792.0,7.800000000000001,shapoorji paloonji,sensorium,yes,no,no,no,yes,yes,yes
127,hinjewadi,3.0,980.0,9.887,shapoorji paloonji,sensorium,yes,no,no,no,yes,yes,yes
128,hinjewadi,4.0,1400.0,14.0,shapoorji paloonji,sensorium,yes,no,no,no,yes,yes,yes
129,hinjewadi,5.0,1772.0,17.7,shapoorji paloonji,sensorium,yes,no,no,no,yes,yes,yes
130,hadapsar,2.0,732.0,6.88,wellwisher apartments,kiarah terrazo,no,no,no,no,yes,no,no
131,hadapsar,2.0,751.0,6.88,wellwisher apartments,kiarah terrazo,no,no,no,no,yes,no,no
132,hadapsar,5.0,1662.0,13.0,wellwisher apartments,kiarah terrazo,no,no,no,no,yes,no,no
133,ravet,2.0,705.0,4.800000000000001,dolphin group,dolphin garima,no,no,no,no,no,no,yes
134,ravet,2.0,726.0,5.1000000000000005,dolphin group,dolphin garima,no,no,no,no,no,no,yes
135,ravet,2.0,809.0,5.6000000000000005,dolphin group,dolphin garima,no,no,no,no,no,no,yes
136,vimannagar,2.0,734.0,9.5,oxy buildcorp,oxy beaumonde,yes,no,no,no,yes,yes,yes
137,vimannagar,2.0,793.0,11.0,oxy buildcorp,oxy beaumonde,yes,no,no,no,yes,yes,yes
138,vimannagar,2.0,904.0,11.8,oxy buildcorp,oxy beaumonde,yes,no,no,no,yes,yes,yes
139,vimannagar,3.0,1154.0,14.600000000000001,oxy buildcorp,oxy beaumonde,yes,no,no,no,yes,yes,yes
140,vimannagar,3.0,1168.0,14.700000000000001,oxy buildcorp,oxy beaumonde,yes,no,no,no,yes,yes,yes
141,vimannagar,3.0,1189.0,14.9,oxy buildcorp,oxy beaumonde,yes,no,no,no,yes,yes,yes
142,hinjewadi,1.0,479.0,3.8680000000000003,kohinoor group,sportsville,no,no,no,no,yes,yes,yes
